question,context,answer_start,answer
Ai là tác giả của cuốn sách Cuốn theo chiều gió,"""Tác giả ""Margaret Mitchell của Cuốn theo chiều gió nói rằng cô đã đọc loạt truyện này khi cô còn là một đứa trẻ.",10,Margaret Mitchell
Công ty lớn thứ 2 thế giới là gì,"Google chọn cách bán cổ phiếu bằng đấu giá , một điều hiếm có từ đó tới giờ . Từ khi ra thị trường , giá Google đã lên đến gần $200 mỗi cổ phiếu từ $85 lúc đầu . Tính đến đầu năm 2018 cổ phiếu Google chạm ngưỡng 1.160 USD đẩy giá trị công ty lên 804 tỷ USD và là công ty lớn thứ 2 sau Apple trên thế giới .",0,Google
tỉnh nào từng có ít nhất hai triều đại chọn làm kinh đô,"Lịch sử hình thành . Hơn 1000 năm về trước , tại kinh đô Hoa Lư ( Ninh Bình ) đã có ba triều đại Vua nối tiếp nhau ra đời : nhà Đinh , nhà Tiền Lê và nhà Lý .",66,Ninh Bình
Hàn Mạc Tử mất năm bao nhiêu,"Và theo Trần Thị Huyền Trang , Hàn Mặc Tử mất ( 1940 ) , Trường thơ Loạn bắt đầu tan rã . Mặc dù Yến Lan , Chế Lan Viên và Bích Khê vẫn chơi thân với nhau , song không còn ai tha thiết với việc duy trì hoạt động Trường thơ .",48,1940
Con sông nào được coi là biên giới tự nhiên giữa châu Á và châu Âu,"Ranh giới giữa châu Á và châu Âu thường được xác định theo Biển Aegean, Biển Caspian, Eo biển Thổ Nhĩ Kỳ, Biển Đen, Dãy Caucasus, Sông và Núi Ural.",130,Sông và Núi Ural
Đồng bằng muối khổng lồ ở Bolivia tên là gì,Salar de Uyuni hay Salar de Tunupa là tên của cánh đồng muối lớn nhất thế giới nằm tại Bolivia. Hồ muối cạn này có diện tích 10582 km2 gần dãy Andes với độ cao 3650 mét.,0,Salar de Uyuni hay Salar de Tunupa
Tiền giấy ở nước ta đã được phát hành từ năm nào,Thời nhà Hồ ở Việt Nam đã ban hành tiền giấy năm 1396. Đó là một thời điểm rất sớm so với lịch sử tiền giấy nhưng chính sách ban hành tiền giấy đó không hề được đánh giá là tiến bộ.,45,năm 1396
huyện đảo vân đồn có vườn quốc gia nào,"Vườn quốc gia Bái Tử Long là một khu bảo tồn nằm tại khu vực vịnh Bái Tử Long , thuộc huyện đảo Vân Đồn , tỉnh Quảng Ninh , Việt Nam .",0,Vườn quốc gia Bái Tử Long
ai là cha đẻ của mì ăn liền,Lịch sử . Mì ăn liền hiện đại được tạo ra bởi nhà phát minh người Nhật gốc Đài Loan Ando Momofuku ở Nhật Bản .,84,Ando Momofuku
Đền Hùng nằm ở đâu,"Đền Hùng được dựng trên núi Nghĩa Lĩnh, giữa đất Phong Châu, ngày nay là xã Hy Cương, thành phố Việt Trì, tỉnh Phú Thọ. Quần thể di tích đền Hùng nằm từ chân núi đến đỉnh ngọn núi Nghĩa Lĩnh cao 175 mét (núi có những tên gọi như Núi Cả, Nghĩa Lĩnh, Nghĩa Cương, Hy Cương, Hy Sơn, Bảo Thiếu Lĩnh, Bảo Thiếu Sơn), thuộc địa phận xã Hy Cương, thành phố Việt Trì, tỉnh Phú Thọ,",19,"trên núi Nghĩa Lĩnh, giữa đất Phong Châu, ngày nay là xã Hy Cương, thành phố Việt Trì, tỉnh Phú Thọ"
thác pongour nằm tại huyện nào của tỉnh lâm đồng,"Thác Pongour là thác trên sông Đa Nhim tại vùng đất xã Phú Hội , huyện Đức Trọng , tỉnh Lâm Đồng , Việt Nam .",65,huyện Đức Trọng
Bộ phim Tây Du Ký được chuyển thể từ tiểu thuyết gì,"Tây du ký là một bộ phim truyền hình được chuyển thể từ tiểu thuyết cùng tên của nhà văn Trung Quốc Ngô Thừa Ân , do Đài truyền hình Trung ương Trung Quốc ( CCTV ) và Cục Đường sắt Trung Quốc phối hợp sản xuất , phim khởi quay từ năm 1982 và đến năm 1988 thì hoàn thành .",0,Tây du ký
"Thành Thăng Long cũ dưới thời vua nào không được dùng tên ""hoàng thành""","Thời phong kiến . Thăng Long – Hà Nội thời Nguyễn ( 1802 – 1888 ) . Hoàng thành Thăng Long cũ , ở thời Gia Long chỉ là lỵ sở của tổng trấn Bắc Thành nên tên "" Hoàng thành "" cũng không được dùng .",98,thời Gia Long
mả pì lèng nằm ở tỉnh nào,"Đèo Mã Pí Lèng hay đèo Mã Pì Lèng ( theo âm tiếng H ' Mông là Mả Pì Lèng , còn đọc là Mã Pỉ Lèng ) , là đèo trên quốc lộ 4C ở vùng đất xã Pải Lủng và Pả Vi huyện Mèo Vạc tỉnh Hà Giang , Việt Nam .",170,tỉnh Hà Giang
Vào ngày nào công chúa Elizabeth được rửa tội,"Công chúa Elizabeth là con đầu lòng của Vương tử Albert , Công tước xứ York ( sau này trở thành Quốc vương George VI ) , và Vương hậu Elizabeth . Bà được sinh ra nhờ biện pháp mổ lấy thai tại căn nhà số 17 Đường Bruton , Mayfair , Luân Đôn , và được rửa tội vào ngày 29 tháng 5 năm 1926 trong nhà thờ riêng của Điện Buckingham dưới sự chủ trì của Tổng giám mục xứ York , Cosmo Lang .",262,ngày 29 tháng 5 năm 1926
Ai là tác giả của bài Hịch tướng sĩ,"Dụ chư tỳ tướng hịch văn (諭諸裨將檄文), thường được gọi là Hịch tướng sĩ, là bài hịch viết bằng văn ngôn của Trần Hưng Đạo viết cuối thế kỷ 13 trước cuộc chiến tranh Mông Nguyên-Đại Việt lần 2.",104,Trần Hưng Đạo
Thịt loài chim nào có khả năng tăng ham muốn tình dục,"Công dụng . Ngoài ra , thịt chim bồ câu còn có thể tăng cường khả năng sinh dục . Theo Lý Thời Trân thì thịt chim bồ câu rất nổi tiếng là có tính kích thích công năng tình dục mạnh mẽ người ta hay nấu món cháo bồ câu ra ràng để có tác dụng bổ dưỡng , tạo thêm sinh lực cho đàn ông",23,thịt chim bồ câu
"Theo quy ước được Liên Hợp Quốc công nhận, Trái Đất có bao nhiêu đại dương","Theo quy ước của các hiệp hội địa lý quốc tế được Liên Hợp Quốc công nhận, Trái Đất bao gồm 5 đại dương: Thái Bình Dương, Đại Tây Dương, Ấn Độ Dương, Nam Đại Dương (hay còn gọi là Nam Băng Dương) và Bắc Băng Dương. Ảnh: Getty.",92,5 đại dương
đâu là một loại gia vị trứ danh của tây ninh,"Du lịch . Ẩm thực . - Muối tôm : là một đặc sản rất nổi tiếng của Tây Ninh.Ban đầu chỉ có vài hộ gia đình sản xuất nhỏ lẻ , đến nay đã có hơn 100 cơ sở làm các loại sản phẩm muối Tây Ninh , tập trung chủ yếu trên địa bàn huyện Gò Dầu , thị xã Trảng Bàng và thành phố Tây Ninh .",22,Muối tôm
Cầu rạch miễu hiện nay nối liền hai tỉnh nào,"7 giờ 30 sáng 20/8, Bộ GTVT cùng hai tỉnh Bến Tre và Tiền Giang đã tổ chức lễ hợp long trọng nối 2 nhịp dây văng chính của cầu Rạch Miễu, nối tỉnh Bến Tre với Tiền Giang.",42,Bến Tre
Sông nào chảy qua bắc ninh và bắc giang,"Sông Cầu dài 290 km, bắt nguồn từ Bắc Kạn chảy qua Thái Nguyên) và làm ranh giới hai tỉnh Bắc Giang - Bắc Ninh. Sông Thương phát nguyên từ Lạng Sơn chảy qua các huyện Lạng Giang, Yên Thế, Tân Yên, thành phố Bắc Giang, Yên Dũng và dài khoảng 80 km. Sông Lục Nam phát nguyên từ Đình Lập (Lạng Sơn), chảy qua các huyện Sơn Động, Lục Ngạn, Lục Nam (Bắc Giang) với tổng chiều dài hơn 200 km.",0,Sông Cầu
quốc gia có diện tích lớn nhất thế giới,"Ẩm thực Nga rất đa dạng , vì Nga là quốc gia có diện tích lớn nhất thế giới .",8,Nga
Ai là người tạo ra ngôn ngữ Pascal,"Pascal là một ngôn ngữ lập trình máy tính thuộc dạng mệnh lệnh và thủ tục , được Niklaus Wirth phát triển vào năm 1970 là ngôn ngữ lập trình đặc biệt thích hợp cho kiểu lập trình cấu trúc và cấu trúc dữ liệu . Được đặt theo tên của nhà toán học , triết gia và nhà vật lí người Pháp , Blaise Pascal .",81,Niklaus Wirth
Nhà hát Broadway nằm ở đâu,"Nhà hát Broadway ( tiếng Anh : "" Broadway Theatre "" ) là một nhà hát thuộc sân khấu Broadway , toạ lạc tại số 1681 đại lộ Broadway , khu Manhattan , New York , Hoa Kỳ .",95,"toạ lạc tại số 1681 đại lộ Broadway , khu Manhattan , New York , Hoa Kỳ ."
"Tho y học cổ truyền, loại đậu nào có tác dụng giảm hoa mắt","Tác dụng y học cổ truyền . Hoa mắt hoặc tối mờ . - Cách dùng : Có thể dùng đậu đen và mè đen đồng cân lượng sao thơm tán thành bột , thêm đường để ăn khô hoặc khuấy chín , ăn nhiều ngày sẽ có tác dụng .",75,đậu đen
Huyện nào của tỉnh Hà Tây cũ nổi tiếng với nghề làm sắt,"Thạch thất nổi tiếng với nhiều làng nghề nổi tiếng của xứ Đoài, như nghề Mộc Chàng Sơn, Dệt Hữu Bằng, Đan lát Bình phú Sắt Phùng Xá, làm bánh chè lam Thạch Xá và kẹo trà lam Đại Đồng, vv.... Hiện nay một số nơi tại huyện Thạch Thất như Làng Chàng Sơn,Thôn Phú Hòa (Làng Ra) xã Bình Phú, Thạch Xá vẫn còn lưu giữ bộ môn nghệ thuật dân gian ""Múa rối nước"". Hàng năm vào dịp lễ tết, hội làng vẫn tổ chức biểu diễn. Đặc biệt rối nước Làng Ra hiện vẫn còn lưu giữ được những con rối cổ, bên cạnh đó hàng năm các đội vẫn tổ chức tu sửa và bổ sung con rối mới bởi các nghệ nhân trong làng như nghệ nhân Nguyễn Khắc Thoa, cố nghệ nhân Nguyễn Khắc Giáp, nghệ nhân Nguyễn Hữu Chuân,... Lưu chuyền đội múa rối nước Làng Ra do Thiền sư Từ Đào Hạnh khởi lập nên hàng năm vào dịp hội Chùa Thầy đội múa rối Làng Ra biểu diễn tại nhà Thủy Đình tại hồ Long Trì",215,huyện Thạch Thất
helike là tên một vệ tinh tự nhiên của sao nào thuộc hệ mặt trời,"Helike , hay còn được gọi là ' là một vệ tinh tự nhiên của sao Mộc .",59,sao Mộc
Chồng của bà Trưng Trắc là ai,"Tên của ông Thi Sách, theo Thủy kinh chú của Trung Quốc xác định: chồng bà Trưng Trắc tên là Thi.",12,Thi
tại tp buôn ma thuột tỉnh đắk lắk du khách có thể thăm bảo tàng nào,- Bảo tàng Mỹ Thuật . Khánh Hoà - Bảo tàng Alexandre Yersin . - Bảo tàng Khánh Hoà . Đắk Lắk - Bảo tàng các dân tộc Việt Nam tại Đắk Lắk .,95,Bảo tàng các dân tộc Việt Nam
Hàn Quốc nằm ở bán đảo nào,"Hàn Quốc nằm trong Đông Á , ở nửa phía nam của Bán đảo Triều Tiên nhô ra ở phía đông lục địa Á-Âu. Đất nước duy nhất có biên giới trên đất liền với Hàn Quốc là Bắc Triều Tiên ở phía bắc với 238  km ( 148 mi ) đường biên giới chạy dọc theo Khu phi quân Liên Triều .",47,Bán đảo Triều Tiên
danh nhân nào quê ở đông anh là tác giả của tập ký tang thương ngẫu lục,"Danh nhân , người nổi tiếng . Ông và Phạm Đình Hổ là đồng tác giả tập ký "" Tang thương ngẫu lục "" . Nguyễn Án là người làng Du Lâm , huyện Đông Ngàn , phủ Từ Sơn , trấn Kinh Bắc ; nay thuộc xã Mai Lâm , huyện Đông Anh ngoại thành Hà Nội .",100,Nguyễn Án
bánh pía là đặc sản nổi tiếng của miền nào,"Phổ biến . Bánh pía được biết đến là đặc sản Vũng Thơm ( Sóc Trăng ) . Bánh pía xuất hiện trong bài hát "" Miền Tây quê tôi "" , "" Sóc Trăng miền quê yêu dấu """,57,Sóc Trăng
Văn miếu được xây dựng dưới thời vua nào,"Khi các chúa Nguyễn mở mang khai phá phương Nam, Văn Miếu được thiết lập ở Phú Xuân, tại làng Triều Sơn và được xem như Văn Miếu riêng của Đàng Trong, nhưng không rõ thời điểm xây dựng. Đến năm Canh Dần (1770) dưới triều của Định Vương Nguyễn Phúc Khoát, Văn Miếu được dời đến xã Long Hồ. Đến thời nhà Nguyễn, Văn Miếu được xây dựng dưới triều vua Gia Long, ngôi miếu cũ được giữ lại để làm Khải Thánh Từ, tức miếu thờ cha mẹ của Khổng Tử.",344,vua Gia Long
nhà máy thuỷ điện hoà bình được xây dựng trên sông nào,Nhà máy Thuỷ điện Hoà Bình được xây dựng tại tỉnh Hoà Bình trên dòng sông Đà thuộc miền bắc Việt Nam .,69,sông Đà
thánh địa la vang hiện nay ở huyện nào của tỉnh quảng trị,"La Vang ngày nay là một thánh địa và là nơi hành hương quan trọng của người Công giáo Việt Nam , nằm ở huyện Hải Lăng , tỉnh Quảng Trị , thuộc Tổng Giáo phận Huế .",103,huyện Hải Lăng
Thủ đô của Ai Cập hiện nay là thành phố nào,"Thủ đô hiện tại của Ai Cập là Cairo. Tuy nhiên, trong lịch sử, thủ đô của Ai Cập đã nhiều lần thay đổi.",30,Cairo
Tỉnh nào nằm ở điểm cực Bắc của Việt Nam,"Hà Giang nằm ở cực Bắc của Việt Nam, tỉnh này có nhiều ngọn núi đá cao và sông suối .",0,Hà Giang
thành phố thimphu thuộc quốc gia nào,"Thimphu ( ; trước đây được viết là Thimbu ) , là thủ đô và thành phố lớn nhất của Vương quốc Bhutan .",82,Vương quốc Bhutan
Luật Hồng Đức do vua nào ban hành,"Hồng Đức là niên hiệu thứ hai của vua Lê Thánh Tông (1460-1497). Niên hiệu đầu của vua Thánh Tông là Quang Thuận (1460-1470), niên hiệu sau là Hồng Đức (1470-1497). Mặc dù dân gian quen gọi là Bộ luật Hồng Đức song tên chính thức của nó là Quốc triều Hình luật; cũng không phải được làm ra dưới triều vua Lê Thánh Tông mà đó là một công trình pháp lý được biên soạn, bổ sung trải qua nhiều thời kỳ, nhiều đời vua nhà Lê.",34,vua Lê Thánh Tông
thủ đô của kenya hiện nay là thành phố nào,"Nhà thờ chính toà Vương cung thánh đường Thánh Gia tại Nairobi hay được biết đến là Nhà thờ chính toà Nairobi là một nhà thờ Giáo hội Công giáo dành cho Thánh Gia nằm tại Quảng trường thành phố Nairobi , thủ đô của Kenya .",184,thành phố Nairobi
kiribati từng là thuộc địa nằm ở nước nào,"Văn hoá . Các khía cạnh khác . G. Bles , London , 1938 . Sir Arthur Grimble viết về khoảng thời gian làm việc của ông ở thuộc địa Anh ở Kiribati ( sau là Quần đảo Gilbert ) từ năm 1914 đến 1932 trong hai cuốn sách "" A Pattern of Islands "" ( 1952 ) và "" Return to the Islands "" ( 1957 ) .",130,Anh
Sài Gòn đổi tên thành TP Hồ Chí Minh năm bao nhiêu,"Năm 1976, khi Thành phố Sài Gòn đổi tên làm Thành phố Hồ Chí Minh, ông được cử làm Bí thư Thành ủy Thành phố Hồ Chí Minh.",0,Năm 1976
nước nào đã thử nghiệm vũ khí hạt nhân đầu tiên,"Trinity là mật danh của vụ thử vũ khí hạt nhân đầu tiên do Lục quân Hoa Kỳ tiến hành vào ngày 16 tháng 7 năm 1945 như một phần của dự án Manhattan. Địa điểm diễn ra vụ thử là sa mạc Jornada del Muerto nằm cách Socorro, New Mexico khoảng 35 dặm (56 km) về phía Đông Nam. Những công trình duy nhất ở vùng phụ cận, ngôi nhà nông trại McDonald và những tòa nhà phụ, đã được các nhà khoa học sử dụng như địa điểm thí nghiệm để kiểm tra những bộ phận của quả bom. Một căn cứ được xây dựng và 425 người đã có mặt vào quãng thời gian thực hiện vụ thử.",68,Hoa Kỳ
Ngọn núi nào của Quảng Ninh là nơi lưu trữ bài thơ chữ Hán của Trịnh Cương,"Núi Bài Thơ là ngọn núi đá vôi đẹp thuộc thành phố Hạ Long , tỉnh Quảng Ninh . Trên núi này còn lưu lại các bài thơ chữ Hán của Lê Thánh Tông khắc trên đá năm 1468 , và của Trịnh Cương năm 1729 .",128,Lê Thánh Tông
Lầu Bảo Đại là khu biệt thự thường được vua Bảo Đại và hoàng hậu nào lui tới,"Danh lam thắng cảnh . Các danh thắng tại Nha Trang . Từ năm 1940 đến 1945 , hoàng đế Bảo Đại và hoàng hậu Nam Phương thường đến nghỉ ngơi ở biệt thự Xương Rồng và Bông Sứ nên từ đó cụm di tích này được gọi là Lầu Bảo Đại .",96,hoàng hậu Nam Phương
địa danh nào của hà giang được unesco công nhận là công viên địa chất toàn cầu năm 2010,"Du lịch . - Cao nguyên đá Đồng Văn nằm trải rộng trên bốn huyện Quản Bạ , Yên Minh , Đồng Văn , Mèo Vạc được công nhận là Công viên địa chất Toàn cầu vào năm 2010 .",12,Cao nguyên đá Đồng Văn
huyện đảo nào lớn nhất việt nam,"Thống kê . Huyện đảo có diện tích lớn nhất : huyện Vân Đồn ( Quảng Ninh ) với 551,3 km² ( gấp gần 10 lần diện tích huyện Thanh Trì ) .",45,huyện Vân Đồn ( Quảng Ninh )
Kỷ niệm 100 năm cách mạng Pháp là năm nào,"Tác phẩm này được đặt ở đây vào năm 1889 , kỷ niệm 100 năm Cách mạng Pháp . Bức tượng ban đầu bằng thạch cao , nhưng sau được thay thế bằng bức tượng đồng .",32,năm 1889
Cha đẻ của đồng tiền thuật toán Bitcoin là ai,"Satoshi Nakamoto - 'cha đẻ' của Bitcoin, có thể đang sở hữu 6 tỷ USD",0,Satoshi Nakamoto
ai là tác giả bộ sách The Principles of Mathematics ,"Tiểu sử . Bộ sách này cùng với tác phẩm "" The Principles of Mathematics "" trước đó đã nhanh chóng làm cho Russell trở nên nổi tiếng thế giới trong lĩnh vực toán học .",106,Russell
phần lớn lãnh thổ của thổ nhĩ kỳ thuộc khu vực châu lục nào,"Địa lý . Thổ Nhĩ Kỳ là một quốc gia liên lục địa Á-Âu. Phần lãnh thổ Thổ Nhĩ Kỳ thuộc châu Á chiếm 97% diện tích toàn quốc , tách khỏi phần lãnh thổ Thổ Nhĩ Kỳ thuộc châu Âu qua eo biển Bosphorus , biển Marmara và eo biển Dardanelles .",86,châu Á
Châu lục nào có địa lý phức tạp và đa dạng nhất,"Địa lý châu Á có thể coi là phức tạp và đa dạng nhất trong số 5 châu lục trên mặt đất . Châu Á được phân biệt với các châu khác không chỉ bởi các biển và đại dương , mà còn bởi nhiều đặc điểm tự nhiên độc đáo khác : một châu lục có kích thước vĩ đại nhất , trên 44,4 triệu km2 , có lịch sử phát triển và cấu tạo địa chất phức tạp nhất , có địa hình bề mặt bị chia cắt mạnh nhất và có sự phân hoá cảnh quan , khí hậu vô cùng phong phú , đa dạng : từ băng giá vĩnh cửu , rừng lá kim cho tới hoang mạc nóng bỏng , rừng rậm nhiệt đới xanh um .",7,châu Á
nhà tư sản nào được xem là người khai sinh ra ngành sản xuất sơn dầu ở việt nam,"Nguyễn Sơn Hà có thể là : - Nguyễn Sơn Hà doanh nhân , người khai sinh nghề sản xuất sơn dầu ở Việt Nam , Đại biểu Quốc hội Việt Nam .",0,Nguyễn Sơn Hà
TFBoys là nhóm nhạc của nước nào,"TFBoys ( viết tắt của The Fighting Boys , , ) là nhóm nhạc thiếu niên người Trung Quốc được thành lập vào ngày 6 tháng 8 năm 2013 bởi Công ty Thời Đại Phong Tuấn Văn Hoá Nghệ thuật Bắc Kinh , thông qua sự tuyển chọn giữa các thực tập sinh của TF Gia tộc .",76,Trung Quốc
Con sông nào dài nhất Mông Cổ,Con sông dài nhất Mông Cổ Orkhon - 1.124 kilômét (698 mi),26,Orkhon
Thủ đô của Myanmar hiện nay là gì,"Myanmar (, phát âm tiếng Việt: Mi-an-ma) hay còn gọi là Miến Điện, Diến Điện , tên chính thức là Cộng hòa Liên bang Myanmar, là một quốc gia có chủ quyền tại Đông Nam Á có biên giới với Bangladesh, Ấn Độ, Trung Quốc, Lào và Thái Lan. Một phần ba tổng chu vi của Myanmar là đường bờ biền giáp với vịnh Bengal và biển Andaman. Theo số liệu điều tra nhân khẩu năm 2014, Myanmar có 51 triệu cư dân. Myanmar có diện tích 676.578 km2. Thành phố thủ đô là Naypyidaw còn thành phố lớn nhất là Yangon.",449,Naypyidaw
thủ đô của ấn độ là,"Delhi gọi chính thức là Lãnh thổ Thủ đô Quốc gia Delhi , là lãnh thổ thủ đô của Ấn Độ .",0,Delhi
Lời tuyên bố đầu hàng của Dương Văn Minh được đọc ở đâu,"Chướng ngại cuối cùng đối với Quân đoàn 4 Quân Giải phóng miền Nam Việt Nam trên đường tiến vào Sài Gòn là khu phòng thủ Hố Nai - Long Bình - Tam Hiệp do nhữug lực lượng còn lại của Sư đoàn 18, 2 tiểu đoàn còn lại của Lữ đoàn kỵ binh thiết giáp số 3 và Liên đoàn bảo an 318 phòng thủ. Tại đây, tướng Lê Minh Đảo đã cho đào 4 lớp hào chống tăng, đặt âm các xe tăng trong công sự, hình thành nhiều ổ đề kháng cố định và cơ động. Để giải quyết nhanh cụm phòng thủ này, ngày 29 tháng 4, tướng Hoàng Cầm một mặt sử dụng 1 trung đoàn của sư đoàn 341 và trung đoàn pháo binh 55 dùng hỏa lực chế áp các cứ điểm phòng thủ của Quân lực Việt Nam Cộng hòa, mặt khác điều 2 trung đoàn 266 và 270 phối hợp với sư đoàn 6 vòng qua cụm chốt đánh chiếm sân bay Biên Hoà, Sở chỉ huy Quân đoàn III - Quân lực Việt Nam Cộng hòa, Sở chỉ huy sư đoàn 3 không quân, trận địa pháo Hốc Bà Thức và tổng kho Long Bình. 4 giờ sáng ngày 30 tháng 4, Sư đoàn 7 (Quân đoàn 4) đã có mặt tại cầu cầu Ghềnh. Do cầu yếu (trọng tải 12 tấn/lượt xe), toàn bộ xe tăng của Quân đoàn 4 phải di chuyển qua cầu Xa lộ để vào Sài Gòn. Tại ngã ba Tam Hiệp, tướng Lê Minh Đảo cố gắng lập một cụm chốt phòng ngự nhưng cũng bị đánh tan lúc 11 giờ trưa ngày 30 tháng 4. 12 giờ 30 phút, các đơn vị phái đi trước của trung đoàn 14, sư đoàn 7, Quân đoàn 4 hội quân với trung đoàn 66, sư đoàn 304, Quân đoàn 2 tại Dinh Độc Lập đúng lúc Tổng thống Dương Văn Minh đã đọc xong lời tuyên bố đầu hàng không điều kiện trên Đài phát thanh Sài Gòn.",1460,Đài phát thanh Sài Gòn
ai là tác giả bài diễn văn: “tôi có một giấc mơ,"Tôi có một giấc mơ ( tiếng Anh : I Have a Dream ) có thể là : - "" Tôi có một giấc mơ "" , bài diễn văn nổi tiếng của Martin Luther King .",116,Martin Luther King
Truyện Kiều gồm bao nhiêu câu,"Đây được xem là truyện thơ nổi tiếng nhất và xét vào hàng kinh điển trong văn học Việt Nam , tác phẩm được viết bằng chữ Nôm theo thể lục bát , gồm 3254 câu .",148,3254 câu
bản đôn - nơi có rất nhiều voi ở việt nam - thuộc tỉnh nào,Voi Đắk Lắk . Voi hiện tại ở tỉnh . Bản Đôn được xem là nơi vương quốc loài voi ở tỉnh Đắk Lắk là nơi có đàn voi rừng và voi nhà nhiều nhất Việt Nam với số lượng khoảng 80 - 110 con voi rừng và khoảng 45 con voi nhà .,82,tỉnh Đắk Lắk
Động am tiên là danh lam thuộc tỉnh nào,"Động Am Tiên là một danh lam thuộc quần thể di tích quốc gia đặc biệt cố đô Hoa Lư , tại vùng đất xã Trường Yên huyện Hoa Lư tỉnh Ninh Bình , Việt Nam .",125,tỉnh Ninh Bình
thủ đô của jamaica kể từ năm 1962 là thành phố nào,Kingston đã bị phá huỷ nặng bởi một trận động đất năm 1907 . Thành phố trở thành thủ đô của Jamaica độc lập năm 1962 .,0,Kingston
Côn Đảo thuộc tỉnh thành phố nào của Việt Nam,"Côn Đảo là một quần đảo ở ngoài khơi bờ biển Nam Bộ Việt Nam và cũng là đơn vị hành chính cấp huyện trực thuộc tỉnh Bà Rịa-Vũng Tàu . Quần đảo cách thành phố Vũng Tàu 97 hải lý theo đường biển . Nơi gần Côn Đảo nhất là xã Vĩnh Hải , thị xã Vĩnh Châu , tỉnh Sóc Trăng , cách 40 hải lý .",116,Bà Rịa-Vũng Tàu
tỉnh nào ở miền tây có đặc sản dừa sáp cầu kè độc đáo,"Là đặc sản duy nhất chỉ có ở Trà Vinh , Việt Nam , dừa được trồng nhiều ở giồng Cây Xanh , cách thị trấn Cầu Kè ( Trà Vinh ) khoảng 4 km .",29,Trà Vinh
Nguyễn Bặc quê ở tỉnh nào,"Thời trẻ . Tính tình ông thẳng thắn , bộc trực nhưng rất thương dân . Theo sách "" Khâm định Việt sử Thông giám cương mục "" , Nguyễn Bặc là người động Hoa Lư , châu Đại Hoàng , Đại Cồ Việt ( nay vẫn là động Hoa Lư thuộc xã Gia Hưng - huyện Gia Viễn - tỉnh Ninh Bình ) .",200, động Hoa Lư thuộc xã Gia Hưng - huyện Gia Viễn - tỉnh Ninh Bình
Công trình thủy điện Yaly nằm trên con sông này,"Một số thủy điện trong khu vực Tây Nguyên của Việt Nam cũng nằm ở thượng nguồn một số dòng nhánh của sông Mê Kông. Các con đập thủy điện trên sông Sê San ở Tây Nguyên, đặc biệt là thủy điện Yaly, đã tác động không tốt đến cộng đồng hạ nguồn Campuchia.",142,sông Sê San
Thị xã Chí Linh từng là quê hương của thầy giáo nào,Chí Linh từng là quê hương của thầy giáo Chu Văn An,41,Chu Văn An
chủ tịch ủy ban nhân dân hiện tại của Thái Bình là ai,Đặng Trọng Thăng ( sinh năm 1960 ) là một chính khách người Việt Nam . Ông hiện là Chủ tịch Uỷ ban nhân dân tỉnh Thái Bình.Ông từng là Chủ tịch Hội đồng nhân dân tỉnh Thái Bình .,0,Đặng Trọng Thăng
vua nào khởi xướng lễ cày tịch điền hiện còn duy trì đến ngày nay,Lễ cày tịch điền dưới các đời vua và các giai thoại khác . Lễ tịch điền được tiến hành đầu tiên dưới thời vua Lê Đại Hành . Theo Đại Việt sử ký toàn thư : Sau đó nghi lễ này được tiếp tục và trở thành một truyền thống kéo dài đến thời nhà Trần .,106,vua Lê Đại Hành
Đảo lớn nhất Địa Trung Hải,"Sicilia ( , ) là một vùng hành chính tự trị của Ý. Vùng này gồm có đảo Sicilia lớn nhất Địa Trung Hải và lớn thứ 45 thế giới, cùng một số đảo nhỏ xung quanh. Đây là vùng có diện tích lớn nhất của Ý, nằm tại trung tâm của Địa Trung Hải, phía nam bán đảo Ý, tách khỏi lục địa qua eo biển Messina về phía đông bắc. Cảnh quan nổi bật nhất của Sicilia là núi Etna, đây là núi lửa hoạt động có độ cao lớn nhất tại châu Âu, và là một trong các núi lửa hoạt động mạnh nhất thế giới, có chiều cao hiện tại là 3.329 m. Vùng mang khí hậu Địa Trung Hải đặc trưng. Dân số của vùng đạt 5.048.553 người vào tháng 2 năm 2017",0,Sicilia
Ai là vua Tây Ban Nha từ năm 1978 đến nay,"Từ sau năm 1978 đến nay . Juan Carlos trở thành vua của Tây Ban Nha và được coi là người đứng đầu quốc gia . Năm 1978 , hiến pháp mới được ban hành , đưa đất nước trở lại với tiến trình dân chủ .",26,Juan Carlos
Kênh đào Panama được khai thông từ bao giờ,"Mặc dù ý tưởng về kênh đào tại Panama đã có từ đầu thế kỷ 16, nhưng cố gắng đầu tiên trong việc xây dựng kênh đào này chỉ có vào năm 1880 dưới sự lãnh đạo của Pháp. Sau khi cố gắng này sụp đổ, công trình này cuối cùng đã được Hoa Kỳ hoàn thành và kênh đào mở cửa vào năm 1914. Việc xây dựng 77 km (48 dặm) chiều dài của kênh đào đã vấp phải các trở ngại, bao gồm bệnh dịch (cụ thể là bệnh sốt rét và bệnh sốt vàng) cũng như các vụ lở đất. Ước tính có tới 27.500 công nhân đã chết trong quá trình xây dựng kênh đào.",267,năm 1914
Triều Trần bắt đầu bằng vị vua có miếu hiệu gì,Triều Trần bắt đầu bằng vị vua có miếu hiệu Trần Thái Tông,44,Trần Thái Tông
